FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AZE,Azerbaijan,WB_EWSA_SDG_3_2B,Aquifer management (SDG 3.2.b),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,20.0
A,Annual,AZE,Azerbaijan,WB_EWSA_SDG_3_2C,Data & info sharing within country (SDG 3.2.c),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,50.0
A,Annual,AZE,Azerbaijan,WB_EWSA_SDG_3_2D,Transboundary data & info sharing (SDG 3.2.d),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,50.0
A,Annual,AZE,Azerbaijan,WB_EWSA_SDG_6_5_1,Degree of IWRM implementation (SDG 3.1.c),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.95328282828282,,,55.0
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,2616.680614107,2596.795870875,2579.071861055,2562.830250156,2544.608905558,2525.110026038,2508.590154667,2494.467084628,2482.542655153,2469.622484,2453.138433596,2441.779045821,2431.662853256,2419.166339379,2416.679582098,2413.599921677,2404.188841923,2396.543306944,2389.839613712,2384.330315495,2379.196041733,2377.536233987,2376.312117552,2372.940721935,2370.429064354,2383.515472708,2414.318609579,2449.459204257,2488.579115961,2515.787749247,2530.617802219,2548.586467796,2568.927459519,2592.154752369,2617.288307455,2640.235553635,2662.326948748,2686.526953811,2709.253933792,2729.226517985,2748.58925108,2768.013203293,2787.850834012,2807.475212498,2826.586152753,2844.547103363,2863.827426028,2886.169084793,2911.023540477,2932.026539658,2948.729893435,2967.60007674,2988.452786795,3010.330096121,3032.138533142,3053.558119175,3071.974191955,3097.179458284,3120.484088168,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4192,Dependency ratio,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,1.408450704,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,24.466740275,22.071111062,29.185431332,28.376100393,27.533831439,26.656571944,25.742095227,24.787981585,23.791596905,22.750068387,21.660256875,20.51872526,19.321702266,14.832339025,11.276369707,15.957923659,13.625038121,13.605621972,13.585718119,11.276369707,15.813419078,16.276752165,15.760860446,16.444534933,16.612423447,15.087783467,13.516127832,14.722705795,15.951858079,14.75786497,13.34562212,11.453338252,13.101227611,14.082885648,13.345139859,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4255,Municipal water withdrawal as % of total withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,3.336373674,4.025968962,7.170652792,8.181039788,9.232547346,10.327737884,11.46939124,12.660528229,13.904437333,15.204705024,16.565250293,17.990364105,19.484754606,18.703284646,16.239186523,15.382316402,15.809307084,15.812860843,15.816503868,16.239186523,15.923125653,15.984316288,15.846435223,14.566725658,16.593175853,17.231163131,16.503590163,15.980388674,15.71029775,15.995051255,15.944700461,15.990409443,16.864560274,16.001534919,15.394694254,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4256,Industrial water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,63.643915876,63.442859819,63.233621215,63.015690173,62.788513533,62.551490187,62.303965762,62.045226589,61.774492832,61.490910634,61.193543127,66.464376329,72.48444377,68.659759939,70.565654795,70.581517185,70.597778013,72.48444377,68.263455269,68.874830924,68.392704331,68.988739409,66.789151356,67.684711046,69.980282004,69.296905532,68.33784417,69.264757865,70.709677419,69.273330874,70.034212115,69.915579432,71.260165887,
A,Annual,BGR,Bulgaria,WB_EWSA_AS_4257,Total water withdrawal per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,1600.53510697,1593.420014692,1586.943262739,1581.269954774,1575.854354778,1572.745799853,1512.755087716,1451.511871462,1390.941065903,1339.259670396,864.129591857,859.56468395,855.87649139,847.627555065,834.913781376,823.005974381,811.596146593,800.793272373,790.240848686,778.691819889,766.575172614,735.730001266,838.087989191,880.82619839,852.857025653,848.361444105,843.843396683,817.462970325,846.735970013,817.440038483,801.293535723,865.186771047,781.056316142,752.69113234,744.215124935,784.310228732,798.220229047,799.645431167,772.27002546,777.295404796,716.649753982,757.863818619,797.471772365,
